,description,points,taster_twitter_handle,title,variety,winery
14939,"This 100% varietal wine is velvety and dense in all the right ways, striking a balance between fruit-forwardness and savory coomplexity. Blackberry, blueberry and coffee flavors lead the palate, highlighted in supple tannin.",91,@vboone,Madrigal 2013 Petite Sirah (Calistoga),Petite Sirah,Madrigal
54001,"Bold and very woody, this full-bodied wine takes charred oak, pine needle and aromatic cedar aromas through to ripe plum, licorice and black-cherry flavors. It stays smooth in texture, with a layer of fine tannins but otherwise is soft in mouthfeel.",87,@gordone_cellars,Lodi Estates 2013 Cabernet Sauvignon (Lodi),Cabernet Sauvignon,Lodi Estates
38368,"Ripe cranberry and raspberry scents combine with wet slate and marjoram on the nose of this bottling from the Dwarf Oak Vineyard, located in a historic winegrowing region. The palate is broad with macerated raspberry and strawberry fruit, spiced with garrigue and white pepper touches.",90,@mattkettmann,Sarah's Vineyard 2014 Pinot Noir (Santa Clara Valley),Pinot Noir,Sarah's Vineyard
124057,"This fragrant red opens with scents suggesting aromatic Alpine herb, ripe dark-skinned berry, flint and a whiff of exotic spice. The luminous, elegantly structured palate displays ripe wild cherry, raspberry, mineral and a hint of star anise alongside a backbone of firm, refined tannins. Drink through 2024.",92,@kerinokeefe,Nera 2009 Inferno Riserva  (Valtellina Superiore),Nebbiolo,Nera
19776,"This is the first Chenin Blanc from this up-and-coming winery. All native yeast fermented and aged in stainless steel, the aromas pop, with notes of pear, apple, lees and melon. Sleek in style, it brings a sense of brightness and purity of flavor and bright acids. Very varietally correct, it's a compelling example of Chenin in the state. Pair it with food to see it at its best.",90,@wawinereport,W.T. Vintners 2016 Stoneridge Vineyard Chenin Blanc (Columbia Valley (WA)),Chenin Blanc,W.T. Vintners
18721,"It's not often that you see Charbono in a Cabernet bottling, but it works. This wine boasts aromas of ripe cassis, red cherry and woody chocolate. The tannins are pronounced and chalky, giving a full mouthfeel, with sharp flavors of tart cherry and a strong acidity.",91,@mattkettmann,Sextant 2012 Kamal Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Sextant
63867,"This is a very crisp wine dominated by herbaceous notes and intense acidity. It is bright and lively, hinting at spice and toast and tantalizingly fresh on the finish.",87,@vossroger,Herdade de São Miguel 2010 Colheita Seleccionada White (Alentejano),Portuguese White,Herdade de São Miguel
70485,"The tartness in this wine veers slightly sour, with the acidity dialed perhaps a notch too high. Herb and salt intermix to give a more savory character, with a freshness to the finish.",84,@vboone,Uptick Vineyards 2011 Estate Chardonnay (Russian River Valley),Chardonnay,Uptick Vineyards
129052,"Aged for at least five years in the Lanson cellars before disgorgement, this is a blend of Grand Cru wines from the Côte des Blancs. It has signs of maturity in the hints of toast and almonds while showing a crisp, tightly mineral texture. It's a great food wine, very fresh with good depth of flavor. The acidity at the end is bright and refreshing.",93,@vossroger,Lanson NV Extra Age Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Lanson
44448,"This opens with aromas of camphor, dried herb and red berry while the firm palate shows black licorice, peppercorn, sour cherry and a hint of tobacco. A backbone of assertive tannins provides structure. Drink after 2020.",90,@kerinokeefe,Podere Ruggeri Corsini 2012 Bricco San Pietro  (Barolo),Nebbiolo,Podere Ruggeri Corsini
14289,"While this is stout and dark up front, the nose comes with a note of stewed fruit. The thick, tannic palate is grabby and resiny in feel, while flavors of raw oak taste lactic, and the berry fruit component in the wine is loamy and feels big and blocky.",86,@wineschach,Terrazas de Los Andes 2010 Reserva Malbec (Mendoza),Malbec,Terrazas de Los Andes
117029,"Hugely sweet yet reasonably balanced given its enormous concentration, this is a tremendous example of the quality heights sweet Riesling can achieve. Golden raisin, dried apricots and candied pineapple all swirl together in a delicious haze of sugar-coma-inducing syrup that nevertheless goes down easily. Will age easily for decades.",97,@JoeCz,Robert Weil 2009 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,Robert Weil
61594,"Scents of cherry and raspberry sauce unfold on the bouquet, while the approachable palate offers similarly intense, fleshy fruit flavors that are laced with hints of pepper and soft mint.",85,@laurbuzz,Neil Ellis 2010 Sincerely Shiraz (Western Cape),Shiraz,Neil Ellis
56685,"This is an impressive wine at the price and production level, a great go-to for multiple occasions. It delivers earthy, candied strawberry around a light, bright core, remaining soft and smooth in texture and intensity, finishing with a tease of milk chocolate.",91,@vboone,La Crema 2013 Pinot Noir (Sonoma Coast),Pinot Noir,La Crema
12853,"This pure Malbec is generous and ripe. It has concentration and dark berry fruits that come strongly through the tannic structure. As it develops, its texture will become increasingly more velvety, bringing out richness. Wait until 2018.",88,@vossroger,Château du Port 2014 Tertre-Perdigous Malbec-Merlot (Cahors),Malbec-Merlot,Château du Port
95654,"This fruit and acidity-driven wine has bright red cherry and raspberry flavors. Young and fruity, it is best drunk now, although waiting until 2015 will soften the fresh tones.",86,@vossroger,Robert Perroud 2013 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud
71714,"Made with Sangiovese and Canaiolo, this friendly wine opens with aromas of mature black plum and crushed blue flower. The one-dimensional and forward palate offers black raspberry accented with notes of clove and a hint of white pepper. Pair it with medium-seasoned cheeses or dense Tuscan bean soup.",86,@kerinokeefe,Vecchia Cantina di Montepulciano 2013 Poggio Stella  (Rosso di Montepulciano),Red Blend,Vecchia Cantina di Montepulciano
90882,"Ripe apple, toast and grilled herb scents lead the nose while the medium-bodied palate offers pear, ripe citrus and toasted almond hints. A mineral note lifts the finish.",89,@kerinokeefe,Le Morette 2012 Riserva  (Lugana),Turbiana,Le Morette
53575,Citrus blossom and leesy vanilla notes open this balanced aromatic white from Argentina's north. Leesy tropcial-fruit flavors focus on lychee and lime. The wine is moderately long on a simple but solid finish.,89,@wineschach,Colomé 2016 Estate Torrontés (Salta),Torrontés,Colomé
75582,"Smoky and soft, this boldly made wine is medium-bodied but burly in char, baked blackberry and cocoa powder, a hint of tobacco never far.",88,@vboone,Dewitt 2013 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Dewitt
58875,"Easygoing on the nose, with light melon and green-fruit aromas. Yet it's crisp in the mouth, but sort of choppy and tart as well. The wine is refreshing but short and linear, as if some of the pulp and power were siphoned off. What's left is fresh and lasting, but a little weak in flavor.",85,@wineschach,Yali 2008 Winemaker's Selection Sauvignon Blanc (Rapel Valley),Sauvignon Blanc,Yali
61176,"This wine is very fruity, fresh and crisp while also showing texture and tight apple-skin flavors. Refreshing acidity brings out the fragrant, fresh aftertaste.",87,@vossroger,Loimer 2012 Lois Grüner Veltliner (Niederösterreich),Grüner Veltliner,Loimer
81799,"Made entirely with native grape Trebbiano Spoletino, this conveys aromas of chamomile, candied fruit and a hint of acacia. The round palate offers dried fruit and a honey accent alongside soft acidity.",87,@kerinokeefe,Perticaia 2013 Trebbiano Spoletino (Umbria),Trebbiano Spoletino,Perticaia
61321,"This bottling marks a stylistic shift in labeling for the winery toward more youthful and creative, and the wine is quite tasty, with aromas of deep black cherry and leather, proving pleasantly rustic. The palate is easy to enjoy, if no particularly complex, with lots of blueberry, Concord grape, white pepper and dark chocolate flavors.",88,@mattkettmann,Cass 2014 C.A.B Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Cass
37730,"This is a very complete, well-balanced and satisfying wine that has a firm tannic structure to carry the tempting berry and black-cherry flavors. It starts with light cinnamon, clove and vanilla aromas that join loads of fruit on the palate, layering nicely for an interesting, complex and substantive character. Drink through 2025.",93,@gordone_cellars,Boeger 2015 Rosa Canina Zinfandel (El Dorado),Zinfandel,Boeger
16503,"Pressed cranberry, underripe raspberry and white pepper form the alluring aromatic base for this bottling that dives into Kalamata olive and cardamom notes on the nose. There is great energy on the sip, with anise, buzzy Sichuan peppercorn and Indian spice enlivening the tomato leaf and cherry-tomato fruit.",93,@mattkettmann,Michaud 2014 Pinot Noir (Chalone),Pinot Noir,Michaud
115300,"Crisp and fragrant, this wine is lively with lemon and green-apple fruit flavors. Floral, fresh and herbaceous, this has a great swathe of tangy acidity to finish.",89,@vossroger,Domaine Thomas & Fils 2011 Grand'Chaille  (Sancerre),Sauvignon Blanc,Domaine Thomas & Fils
49311,"The cocoa, herb and woodspice aromas are still quite locked up. The black cherry flavors are more revealing, showing a pleasing tartness and sense of elegance.",90,@wawinereport,Patterson 2013 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Patterson
56489,"Ripe, lush and a touch raisiny on the nose, this smells like boysenberry pie and crème de cassis liqueur. Chewy, tannic and a bit heavy in this youthful state, this offering from vineyards in the town of Porrera (Vall Llach's home) delivers blackberry, cassis and prune flavors along with a toasty, chocolaty, oak-heavy finish. Best from 2016 through 2021.",93,@wineschach,Vall Llach 2012 Porrera Vi de Vila Red (Priorat),Red Blend,Vall Llach
100010,"A huge, ink-black wine with all the brooding majesty that gives Cornas its reputation. A blockbuster with enormous rich, sweet tannins. At the end it is the quality of the superripe fruit from old vines that dominates, but it is certainly a wine to keep for generations.",95,@vossroger,Éric & Jöel Durand 1999 Empreintes  (Cornas),Rhône-style Red Blend,Éric & Jöel Durand
47584,"A hearty but not overdone blend of 73% Petite Sirah, 18% Tannat and 9% Petit Verdot, this well-named wine shows asphalt, black pepper, violet and a sourish blueberry on the nose. Ripe boysenberry fruit pops on the palate, as do lavender and peppercorn. The flavors grow a tad more tart as the sip lingers.",88,@mattkettmann,MCV 2013 Black Red (Paso Robles),Red Blend,MCV
5860,"The Baylet family has produced a rich wine in this vintage. With chocolate and spice flavors accenting its black plum fruit, it's ripe and smooth. The tannins are well integrated into the generous fruit. Drink from 2018.",88,@vossroger,Château Landereau 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Landereau
101150,"An excellent Zin—this has an invitingly soft floral nose, mountainous black-fruit flavors and structure and plenty of depth. This should age nicely over the next 3–5 years, but it is delicious to drink now, too.",91,@vboone,Easton 2010 Zinfandel (Amador County),Zinfandel,Easton
42638,"This mineral-dominated Malbec is dry, packed with tannins as well as black currants and wild berries. It is on the austere side, finishing with intense acidity.",87,@vossroger,Domaine du Grand Cros 2005 Château Nozières Malbec (Cahors),Malbec,Domaine du Grand Cros
68766,Love the label--a graphic representation of the owner's solo 1990 flight from Oz to England in a Tiger Moth--but the wine shows some unappetizing aromas of pickle juice and the fruit on the palate comes across as a bit sour and green.,82,@JoeCz,Edwards 2007 Semillon-Sauvignon Blanc (Margaret River),Semillon-Sauvignon Blanc,Edwards
89211,"With its searing crisp character, this is a wine for food. Very textured, apple skins cut through the citrus acidity, creating a taut, nervy wine, although finishing with a richer, more yeasty character.",90,@vossroger,Philipponnat NV Non-Dosé Royale Réserve  (Champagne),Champagne Blend,Philipponnat
51006,"With wood and white stone fruit in fine balance, this is a ripe, full wine, the acidity lighting up the ripe flavor. The wine has a broad character, ready for drinking in a year.",91,@vossroger,Morey-Blanc 2007 Charmes Premier Cru  (Meursault),Chardonnay,Morey-Blanc
105379,"Lifted chamomile joins riper pear and apple fruit on the nose of this wine. On the concentrated palate these are joined by lemon and grapefruit zest in an unapologetically bracing style. This wine is clean, dry, fresh and totally lip-smacking with the full force of citrus behind it.",90,@AnneInVino,Emile Beyer 2015 Tradition Riesling (Alsace),Riesling,Emile Beyer
73635,"One of the producer's smallest-production offerings, this wine displays depth and character, with a complementary tension between plum and cherry versus smoke and leather. Subtle in all its characteristics, it finishes with a burst of flavor and intensity.",91,@vboone,Kokomo 2013 Rockpile Zinfandel (Dry Creek Valley),Zinfandel,Kokomo
36957,"Aromas of toasted oak, vanilla and dark berry take shape in the glass. The brooding palate offers black cherry, espresso, oak spices and a hint of grilled herb alongside fine-grained tannins. Enjoy through 2016.",88,@kerinokeefe,Duca di Salaparuta 2011 Làvico Nerello Mascalese (Sicilia),Nerello Mascalese,Duca di Salaparuta
34198,"This simple white has subdued aromas of white spring flower and white stone fruit. The no-fuss, rather diluted palate offers hints of white peach, green apple and a whisper of white almond.",85,@kerinokeefe,Signano 2015  Vernaccia di San Gimignano,Vernaccia,Signano
69805,"Mixed white-fruit aromas are generic. In the mouth, this is full in body and grabby in texture. Flavors of jumbled citrus, salt and orange peel finish pithy and briny but with good feel. Overall, this feels better than it tastes or smells.",84,@wineschach,Otazu 2016 Chardonnay (Navarra),Chardonnay,Otazu
73125,"A generously ripe wine with 8% Petite Sirah, this has a softly layered entry that reveals strong aromas of black olive and plum, before delving headfirst into spicy blackberry cobbler. Complex and smooth, it offers heightened acidity and a richly chocolate finish.",90,@vboone,Matrix 2012 Reserve Zinfandel (Russian River Valley),Zinfandel,Matrix
71740,"This concentrated wine hits the palate like the shock of a cold shower. As the fruit settles, it shows depth of flavor, with notes of green apples and honey. Young and crisp, this is worth aging for another year at least.",93,@vossroger,Eichinger 2010 Gaisberg Erste Lage Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Eichinger
52922,"A nose led by aromas of fine oak, raspberry and mild spices opens this blend of 80% Carmenère and 20% Malbec. In the mouth, it's nicely built, with delicate layering and not too much weight. Toasty, spicy red-fruit flavors include a tobacco note and the wine tastes a bit chocolaty on the tail end. Drink through 2023.",92,@wineschach,Casa Donoso 2013 Sucesor Red (Maule Valley),Red Blend,Casa Donoso
93578,"This is a bright friendly open wine. With its light crisp fruitiness, layers of acidity and a twist of lemon, it is bone dry with a lively fresh aftertaste. Drink now and call it your Valentine's Day.",87,@vossroger,Château les Valentines 2016 La Caprice de Clementine Rosé (Côtes de Provence),Rosé,Château les Valentines
35663,"There's a pleasantly oxidized element to this wine from Michael Mooney (who also makes Chateau Margene from Paso Robles' Creston district). Aromas recall honey and dried apricots, mangos and bananas. The flavors carry that forward, with caramelized apples, melted marshmallow and all types of dried fruit, but with lots of acidic verve too.",92,@mattkettmann,Mooney Family 2012 Chardonnay (Santa Lucia Highlands),Chardonnay,Mooney Family
66083,"Truffle, underbrush, scorched earth and grilled herb aromas lead the nose. On the warm, ripe palate, toast and oak-driven spice underscore raspberry jam and dried black cherry while aggressive tannins clench the finish. Give the tannins another year or two to soften then to drink to capture the remaining fruit.",87,@kerinokeefe,Mauro Sebaste 2012 Prapò  (Barolo),Nebbiolo,Mauro Sebaste
9044,"Hooray for Shea—a shining star in this difficult vintage. Give it a good sniff and note the wood smoke, cedar and bacon scents rising from the glass. Fruit flavors tumble after, a complex mix of fig, berry and black cherry, with a streak of cola. It's lively and lingering—drink now or cellar until 2024.",91,@paulgwine ,Rex Hill 2011 Shea Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill
47690,"This blends 61% Sauvignon Blanc, 36% Sémillon and 3% Chardonnay, opening in strong currents of honey caramel and dried apricot, with a back note of raisin. Voluptuous and nutty, it drinks big in style and personality, delivering plenty of defined flavor.",89,@vboone,Raymond 2014 Small Lot Collection White Meritage (Napa Valley),Meritage,Raymond
1724,"The earthy spice character of this masculine but poised Pinot makes it a unique and stylish pick for red wine lovers. Flavors are balanced, the acids are in check and the finish is delicate but spicy. Overall, a nice wine with class.",85,@suskostrzewa,Chaddsford 2005 Barrel Select Pinot Noir (Pennsylvania),Pinot Noir,Chaddsford
52002,"Powerful from the start, this has an herbal berry aroma, with a rubbery hint and a lactic element. The palate is chewy, dense and rubbery, with creamy, milky flavors of blackberry, carob, vanilla and plastic. Generally speaking, this wine is full and solid.",87,@wineschach,V Norte 2010 Gran Reserva Cabernet Sauvignon (Curicó Valley),Cabernet Sauvignon,V Norte
1998,"Towards the dry end of the Pinot Gris spectrum, this is a crisp, apple and pear flavored wine that has a light character. It's fruity, crisp and ready to drink.",84,@vossroger,Cave de Beblenheim 2013 Réserve Particulière Pinot Gris (Alsace),Pinot Gris,Cave de Beblenheim
90098,"This is punchy and full of potent black-fruit aromas that turn jammy upon airing. It feels lush, thick and chewy, with ripe, dense berry flavors that come with plenty of young oak. Creamy in feel, it features vanilla and resin flavors on the finish. Modern and chunky in style.",89,@wineschach,Viña Mayor 2009 Halo de Secreto  (Ribera del Duero),Tempranillo,Viña Mayor
38958,"From the intensely steep Monts Damnés vineyard, this wine is rich and full of ripe tropical and citrus fruits, with a tight line in steely minerality. It's still too structured and firm, so drink from 2016.",94,@vossroger,Domaine Vincent Delaporte 2013 Monts Damnés  (Sancerre),Sauvignon Blanc,Domaine Vincent Delaporte
83929,"Beguiling scents of fragrant berry, rose petal, baking spice, new leather and aromatic herbs swirl around in the glass. The vibrant palate is loaded with finesse, doling out morello cherry, crushed raspberry, cinnamon and star anise, while polished tannins and bright acidity provide impeccable balance. It's just gorgeous and while it's already accessible, it also shows midterm aging potential.",95,@kerinokeefe,Massolino 2013 Serralunga d'Alba  (Barolo),Nebbiolo,Massolino
57325,"Flat and dull in the nose, with only a touch of apple along with plenty of leftover wood. The palate is thick and woody, and there just isn't ample fruit to offset the oakiness.",83,@wineschach,Viu Manent 1999 Reserve Chardonnay (Colchagua Valley),Chardonnay,Viu Manent
28810,"A waxy texture wraps around tropical fruit, cantaloupe and lemongrass in this simple quaff of refreshing juice.",85,@vboone,Owl Ridge 2013 Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,Owl Ridge
85012,"This is just this side of unctuous, a decadently ripe and rich late harvest Riesling. The residual sugar is at 23%, the alcohol a moderate 8%, and the balance impeccable, with a buoyant underpinning to the intense sweetness. It avoids sugary granularity as well, offering seamless, concentrated fruit that piles on flavors of peach, apricot, banana, mango, papaya and melon in wild profusion, trailing into sweet tea and honey. Apart from the winery's Single Berry Select Trockenbeerenauslese project with Ernie Loosen, this is the best dessert wine made in Washington.",96,@paulgwine ,Chateau Ste. Michelle 2006 Ethos Late Harvest White Riesling (Columbia Valley (WA)),White Riesling,Chateau Ste. Michelle
68620,"Cool, crisp cherry and plum aromas come with a mint-and-grass note. This blend of 85% Tempranillo and 15% Cabernet Sauvignon is crisp, mildly tannic and tight, with medicinal currant and plum flavors that end dry and lightly spicy.",85,@wineschach,Vicente Gandia 2011 Hoya de Cadenas Private Reserva Red (Utiel-Requena),Tempranillo Blend,Vicente Gandia
18273,"This has a delicate citrus character and a tangy, minerally texture. The ripe fruits are balanced by acidity.",89,@vossroger,Simon Bize 2010 Les Champlains  (Bourgogne),Chardonnay,Simon Bize
873,"This delicate Hungarian white wine is a blend of 86% Furmint, 9% Yellow Muscat and 5% Kabar. It has enticing aromas of white flowers, botrytis, gardenia, apple blossom and apricot that prepare your palate for flavors of peach juice, citrus zest, grapefruit juice, caramelized pineapple and a crisp clean finish.",90,@worldwineguys,Chateau Dereszla 2014 Dry  (Tokaji),White Blend,Chateau Dereszla
76557,"Warm, baked and dusty on the nose, with black cherry and cassis along with brick dust, olive and spice aromas. The palate is healthy and full, with punchy, snappy flavors of cherry, raspberry and spiced marmalade. Creamy, sweet and rooty on the finish. Drink now through 2015.",89,@wineschach,François Lurton 2008 Gran Araucano Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,François Lurton
125313,"This lush, modern Malbec explodes with power then simmers with complexities. Opaque in color, the bouquet issues intense blackberry, lemon peel, graphite and toast aromas. In the mouth, it's full but not flabby, and then comes an avalanche of black-fruit flavors matched by notes of spice cake, molasses, pepper and mocha. It's warm, toasty and full of licorice on the finish. A superb wine to drink now through 2018.",94,@wineschach,Viña Cobos 2010 Bramare Malbec (Luján de Cuyo),Malbec,Viña Cobos
78579,"Portugal's native Touriga Nacional originally comes from the Dão and this wine shows it in its glory. Planted around an ornate 16th-century palace, the vines have produced a richly structured wine, still showing some signs of wood aging. It is concentrated, with ripe red-cherry and blackberry fruits, solid tannins and acidity. Drink this wine from 2020.",94,@vossroger,Casa Anadia 2013 Palácio Anadia Reserva Touriga Nacional (Dão),Touriga Nacional,Casa Anadia
114108,"A supple, oaky red, infused with aromas of sandalwood and flowers and flavors of roasted cherries and dried spices. Finishes smooth and creamy, with hints of vanilla.",88,@JoeCz,Quinta da Romeira 1999 Prova Regia Touriga Nacional (Estremadura),Touriga Nacional,Quinta da Romeira
89331,"Minty black cherry aromas give it a solid opening, but there's also some mild cleanser and paint scents to the nose. The palate is basic, snappy, fresh and carries good weight, while the flavors are sweet, berry-oriented and softened by vanilla. A good Grenache with good balance.",87,@wineschach,Bodegas Ateca 2008 Atteca Old Vines Garnacha (Calatayud),Garnacha,Bodegas Ateca
85848,"Lovely delineation here, the berry/cherry fruit framed with coffee and chocolate from a 50/50 mix of French and American oak barrels. The surprise is the addition (via co-fermentation) of 6% Viognier, which stabilizes color and gives a pleasing, floral/citrus lift to the scents and flavors. Good balance and follow through.",91,@paulgwine ,:Nota Bene 2007 Ciel du Cheval Vineyard Syrah (Red Mountain),Syrah,:Nota Bene
91430,"A little rough around the edges, i.e. there's a sharp note to the nose and then lots of barrel char to back that up. There's black fruit, pepper and lots of oak on the palate, which has a full feel and then firm, clamping tannins.",87,@wineschach,Telmo Rodríguez 2004 Lanzaga  (Rioja),Tempranillo Blend,Telmo Rodríguez
71820,"Dry, yeasty aromas of citrus and fresh-baked bread are, as expected for a brut nature, clean and focused. Flavors of white fruits, green herbs and citrus finish fresh, with more than adequate fruit and balance.",90,@wineschach,Vins El Cep 2009 Claror Gran Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Vins El Cep
121238,"The aroma of this uber-sophisticated white wine is almost like vintage Champagne, combining light smoky, toasted notes with a figgy, lees-stirred freshness. The plush and mature flavors resemble toasted walnuts, marzipan, white peach and honey, yet this is a dry dinner wine, not a dessert. It will make a great pairing with paté on toast or maybe a white truffle risotto.",94,@gordone_cellars,Terre Rouge 2014 Monarch Mine Vineyard Roussanne (Sierra Foothills),Roussanne,Terre Rouge
114906,"Smoky notes of roasted meat and white pepper spice up the plum skins and blackberry fruit that show on the nose of this bottling. The smoke is also prominent on the sip, where graphite minerality frames the blueberry and blackberry fruit. The character of slightly burnt balsamic reduction sauce also shows through.",88,@mattkettmann,Fess Parker 2013 Rodney's Vineyard Syrah (Santa Barbara County),Syrah,Fess Parker
105087,"Reserved aromas of baked apple, cream and spice lead to medium-bodied and tart lemony flavors that stretch-out on the finish. It shows a pleasing sense of balance.",89,@wawinereport,Swiftwater Cellars 2015 Zephyr Ridge Estate Bottled Chardonnay (Horse Heaven Hills),Chardonnay,Swiftwater Cellars
24757,"Full-bodied and firmly structured, this offers aromas of dark cherry, mocha, blue flower and a whiff of exotic spice. The concentrated palate doles out black cherry, raspberry jam, raisin, chocolate and baking spice alongside velvety tannins. Drink 2017–2023.",93,@kerinokeefe,Allegrini 2011  Amarone della Valpolicella Classico,Red Blend,Allegrini
91903,"Made of 70% Sangiovese, 20% Ciliegiolo and 10% Canaiolo, this has delicate black-skinned fruit and rose petal aromas. The simple palate offers easygoing tannins, plum fruit and a hint of baking spice. Enjoy soon.",86,@kerinokeefe,Burchino 2015  Chianti Superiore,Red Blend,Burchino
40363,"From vines just to the north of Nuits Saint-Georges, this firm and structured wine features ripe fruits, red berries and bitter cherry flavors. Both dark in texture and perfumed, it's powerful and does need some aging. Drink from 2017.",91,@vossroger,Domaine Faiveley 2011 Aux Chaignots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Domaine Faiveley
47331,"The plum, herb and spice aromas are elusive. The cherry flavors are light but come straight down the fairway. One wants more concentration, but it delivers easy-drinking pleasure.",85,@wawinereport,Hogue 2014 Merlot (Columbia Valley (WA)),Merlot,Hogue
110946,"The wine feels lean, the fruit fading behind the bare bones of a wine. The tannins show through dry and solid, and the finish has attractive acidity.",83,@vossroger,Cooperativa Reguengos de Monsaraz 2009 Terras d'El Rei Red (Alentejano),Portuguese Red,Cooperativa Reguengos de Monsaraz
94548,"Sourced from the lieu dits of Le Méal and Les Greffieux, this is a sturdy, tannic rendering of Hermitage. It's smoky, meaty and cedary upfront, with blackberry fruit and plenty of savory notes that linger through the drying finish. Drink 2020–2030.",91,@JoeCz,Jean-Luc Colombo 2013 Le Rouet Rouge  (Hermitage),Syrah,Jean-Luc Colombo
54268,"Made from 100% Corvina, this shows the great potential of this native grape. It boasts rich blackberry, plum and licorice flavors, beautifully balanced and velvety smooth. This shows great depth and, while delicious now, hold for a few more years to allow additional complexities to develop.",94,@kerinokeefe,Allegrini 2009 La Poja Monovitigno Corvina (Veronese),Corvina,Allegrini
106630,"There seems to be a bit of residual sugar in this wine, just enough to offset the searing acidity. Some nice flower notes highlight the aromas, with flavors of tart peach and citrus filling in the rest.",87,@paulgwine ,Hyland 2011 Riesling (McMinnville),Riesling,Hyland
77282,"Grippy, it has power and loads of chocolaty pepper, jammy blackberry and strawberry fruit, and a dull, toasty finish.",85,@vboone,Pezzi King 2011 Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
49411,"This is a pretty wine, forward and fruit-driven, with orange-juice highlights around cherry fruit. It's as fresh and flavorful as a Cru Beaujolais, ready for immediate enjoyment and best consumed sometime this decade.",88,@paulgwine ,Child's Play 2014 Pinot Noir (Willamette Valley),Pinot Noir,Child's Play
127724,"This is a limited-production, food-friendly wine, spicy and slightly oxidative. That gives the wine character as well as a toasty edge that contributes to its complexity. Drink this wine now.",88,@vossroger,Campolargo 2015 Verdelho (Bairrada),Verdelho,Campolargo
1782,"Jammy, ripe blueberry and blackberry aromas belie a crisp, tight palate, with wild berry, licorice and peppery flavors. This is fresh, wiry, firmly structured and alert as well as comfortable and controlled. Think classic Priorat to drink through 2018.",91,@wineschach,Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red (Priorat),Red Blend,Cellers Unió
45919,"Aromas of berry and cassis come with a shot of raw oak. This is grabby and puts on the clamps, but spicy, peppery flavors of olive, berry and oak are very good in front of a hard, moderately tannic finish.",88,@wineschach,Calcu 2013 Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Calcu
10272,"Solidly tannic, this is a firm wine with juicy fruit that adds balance to the structure. It has a refreshing quality with black currant flavors that are full and dense in the mouth. Give this fine wine time. Drink after 2016.",89,@vossroger,Château Brethous 2011 The Classic  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Château Brethous
66353,"This is clean and lively, with soft aromas of fresh grass, gooseberry and green melon rind that carry through to the palate alongside hints of underripe mango and kiwi. The acidity is bright and refreshing, resulting in a mouthwatering finish.",88,@laurbuzz,Vondeling 2013 Sauvignon Blanc (Paardeberg),Sauvignon Blanc,Vondeling
43452,"Rustic, earthy aromas lead to a wine that's dominated by dark tannins and bitter chocolate flavors. That leaves little room for the rich berry fruits that are struggling to come through. Allow time for this toughness and firm extraction to soften. Drink from 2016.",87,@vossroger,Caves Transmontanas 2010 Grande Reserva Red (Douro),Portuguese Red,Caves Transmontanas
110983,"This smells mostly of oak and barrel spice, with barely any fruit seeping through all the wood grain that's on display. Plump on the palate, this overoaked Chardonnay tastes almost entirely of resin and spice. Throw in clove and vanilla flavors on the finish, and you get the picture.",84,@wineschach,Indomita 2016 Duette Chardonnay (Casablanca Valley),Chardonnay,Indomita
111805,"This is Baumard's entry-level sparkling wine, with ripe, soft fruit, a creamy texture with some attractive weight and flavors of apples and pears.",86,@vossroger,Domaine des Baumard NV Carte Turquoise Sparkling (Crémant de Loire),Sparkling Blend,Domaine des Baumard
70706,Red-berry fruits dominate this still-young wine that has dark tannins and concentration. Spice and wood-aging flavors still show strongly. Drink from 2019.,87,@vossroger,Conceito Vinhos 2014 Contraste Tinto Red (Douro),Portuguese Red,Conceito Vinhos
